donor,region,roi,other_immune,epithelial,unknown,PP cell,beta cell,macrophage,cd8_t,cd4_t,b_cell,mdsc,fibroblast,alpha cell,endothelial,acinar
HPAP-004,Body of pancreas,ROI1,2341.0,998.0,706.0,468.0,192.0,156.0,23.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
HPAP-004,Body of pancreas,ROI3,2841.0,996.0,517.0,0.0,211.0,76.0,22.0,5.0,9.0,4.0,0.0,0.0,0.0,0.0
HPAP-004,Body of pancreas,ROI4,2349.0,9.0,1114.0,532.0,245.0,129.0,26.0,4.0,14.0,1.0,91.0,17.0,0.0,0.0
HPAP-004,Head of pancreas,ROI1,1054.0,0.0,78.0,0.0,107.0,72.0,281.0,3.0,6.0,1.0,674.0,0.0,0.0,0.0
HPAP-004,Head of pancreas,ROI2,1392.0,743.0,494.0,0.0,128.0,133.0,47.0,11.0,4.0,1.0,0.0,416.0,0.0,0.0
HPAP-004,Head of pancreas,ROI3,1280.0,672.0,0.0,0.0,507.0,165.0,419.0,5.0,36.0,6.0,0.0,0.0,0.0,0.0
HPAP-004,Tail of pancreas,ROI1,1648.0,1808.0,540.0,0.0,0.0,152.0,97.0,13.0,211.0,1.0,0.0,0.0,118.0,0.0
HPAP-004,Tail of pancreas,ROI2,1387.0,849.0,581.0,0.0,0.0,50.0,15.0,5.0,38.0,0.0,0.0,0.0,190.0,0.0
HPAP-004,Tail of pancreas,ROI3,1470.0,128.0,851.0,0.0,0.0,58.0,18.0,4.0,12.0,0.0,0.0,0.0,567.0,0.0
HPAP-005,Body of pancreas,ROI1,452.0,415.0,383.0,0.0,0.0,30.0,32.0,5.0,4.0,300.0,0.0,0.0,52.0,0.0
HPAP-005,Body of pancreas,ROI2,410.0,641.0,487.0,376.0,107.0,2.0,5.0,1.0,2.0,368.0,0.0,0.0,374.0,0.0
HPAP-005,Body of pancreas,ROI3,611.0,474.0,0.0,0.0,307.0,24.0,2.0,0.0,1.0,175.0,0.0,0.0,461.0,0.0
HPAP-005,Head of pancreas,ROI1,745.0,2083.0,704.0,0.0,173.0,63.0,10.0,0.0,10.0,33.0,1021.0,0.0,0.0,0.0
HPAP-005,Head of pancreas,ROI2,1822.0,742.0,600.0,0.0,0.0,44.0,5.0,1.0,4.0,27.0,0.0,0.0,248.0,0.0
HPAP-005,Head of pancreas,ROI3,899.0,354.0,223.0,0.0,49.0,2.0,21.0,2.0,3.0,118.0,0.0,0.0,316.0,0.0
HPAP-005,Tail of pancreas,ROI1,20.0,84.0,72.0,0.0,0.0,12.0,5.0,2.0,5.0,185.0,0.0,0.0,0.0,0.0
HPAP-005,Tail of pancreas,ROI2,5.0,104.0,0.0,0.0,0.0,5.0,6.0,2.0,1.0,147.0,0.0,0.0,86.0,0.0
HPAP-006,Body of pancreas,ROI4,212.0,370.0,130.0,0.0,0.0,27.0,37.0,14.0,45.0,2.0,0.0,0.0,0.0,0.0
